rank,field,contract,proof_card,primary_blocker
1,covariance_root_certificate,OC_016_covariance_root_certificate_dictionary,proof.gaussian.covariance-root-certificate.v2,exact physical gauge covariance/root dictionary and norm/weight constants
2,gaussian_pushforward,OC_017_gaussian_pushforward_normalization,proof.gaussian.pushforward.dictionary.v2,coordinate/Jacobian/determinant normalization in repository types
3,root_localization,OC_018_root_localization_source_package,proof.root.localization.v2,exact local root-piece/source support theorem rather than scalar analogy
4,wilson_hessian_identification,OC_019_wilson_hessian_identification_dictionary,proof.wilson.hessian.identification.v2,source location and sign/normalization for Wilson second variation
5,local_physical_activity_construction,OC_020_local_activity_construction_globalEval,proof.local-activity.construction.v2,"finite H(Z) / H(Z,Z0) index dictionary and globalEval identity"
6,support_measurability,OC_021_support_measurability_activity,proof.activity.support-measurability.v2,support enlargement convention and measurability in CMP116FluctuationField
7,raw_pointwise_decay,OC_022_raw_pointwise_decay_termwise_composition,proof.raw-pointwise-decay.termwise.v2,termwise source estimate plus Eq. 2.29/2.31/2.37 dictionaries
8,appendix_f_geometry,OC_023_appendix_f_hsharp_geometry_feed,proof.dimock.appendixf.hsharp-feed,Omega-connectivity/skeleton dictionary and constants
9,rooted_hsharp_remainder_identity,OC_024_rooted_hsharp_remainder_identity,proof.rooted-hsharp-remainder.identity.v2,identity between physical raw-source scale family and scalar Rsc rooted sum
10,rsc_flow_ir_frontier,OC_025_rsc_flow_ir_decoupler,proof.flow.ir.bridge,polymer-local R-operation to scalar Rsc plus marginal flow dictionary
